Time_s,Output
1.841735053,-0.001409287
1.842321219,-0.00145192
1.842907386,-0.001488397
1.843493552,-0.00151919
1.844079719,-0.00154447
1.844665885,-0.001564107
1.845252052,-0.00157775
1.845838218,-0.001584898
1.846424385,-0.001584994
1.847010551,-0.001577606
1.847596717,-0.001562733
1.848182884,-0.001541151
1.84876905,-0.00151458
1.849355217,-0.001485603
1.849941383,-0.00145734
1.85052755,-0.001433088
1.851113716,-0.001416
1.851699883,-0.001408817
1.852286049,-0.001413569
1.852872216,-0.001431204
1.853458382,-0.001461271
1.854044549,-0.00150182
1.854630715,-0.001549627
1.855216882,-0.00160071
1.855803048,-0.001650983
1.856389215,-0.001696853
1.856975381,-0.001735647
1.857561547,-0.001765856
1.858147714,-0.001787189
1.85873388,-0.001800483
1.859320047,-0.001807441
1.859906213,-0.001810233
1.86049238,-0.001811023
1.861078546,-0.001811524
1.861664713,-0.001812674
1.862250879,-0.001814481
1.862837046,-0.001816041
1.863423212,-0.00181578
1.864009379,-0.001811888
1.864595545,-0.001802875
1.865181712,-0.001788076
1.865767878,-0.001767939
1.866354045,-0.001744043
1.866940211,-0.0017189
1.867526377,-0.001695663
1.868112544,-0.001677754
1.86869871,-0.001668385
1.869284877,-0.00166997
1.869871043,-0.001683533
1.87045721,-0.001708316
1.871043376,-0.00174176
1.871629543,-0.001779905
1.872215709,-0.001818095
1.872801876,-0.00185178
1.873388042,-0.001877218
1.873974209,-0.001891981
1.874560375,-0.001895231
1.875146542,-0.001887767
1.875732708,-0.001871822
1.876318875,-0.001850591
1.876905041,-0.001827554
1.877491208,-0.001805746
1.878077374,-0.001787139
1.87866354,-0.001772272
1.879249707,-0.001760164
1.879835873,-0.001748513
1.88042204,-0.001734177
1.881008206,-0.001713865
1.881594373,-0.001684929
1.882180539,-0.001646051
1.882766706,-0.001597646
1.883352872,-0.001541896
1.883939039,-0.001482459
1.884525205,-0.001423967
1.885111372,-0.001371393
1.885697538,-0.001329358
1.886283705,-0.001301393
1.886869871,-0.001289277
1.887456038,-0.001292614
1.888042204,-0.001308827
1.88862837,-0.001333672
1.889214537,-0.001362121
1.889800703,-0.001389331
1.89038687,-0.00141141
1.890973036,-0.001425802
1.891559203,-0.001431373
1.892145369,-0.001428303
1.892731536,-0.001417864
1.893317702,-0.001402043
1.893903869,-0.001382984
1.894490035,-0.001362323
1.895076202,-0.001340637
1.895662368,-0.001317207
1.896248535,-0.001290189
1.896834701,-0.001257089
1.897420868,-0.001215385
1.898007034,-0.001163122
1.8985932,-0.001099372
1.899179367,-0.001024523
1.899765533,-0.000940372
1.9003517,-0.000850005
1.900937866,-0.000757483
1.901524033,-0.000667352
1.902110199,-0.000584047
1.902696366,-0.000511305
1.903282532,-0.00045166
1.903868699,-0.000406121
1.904454865,-0.000374102
1.905041032,-0.000353662
1.905627198,-0.00034202
1.906213365,-0.000336227
1.906799531,-0.000333769
1.907385698,-0.000332951
1.907971864,-0.000332983
1.90855803,-0.000333869
1.909144197,-0.000336156
1.909730363,-0.000340611
1.91031653,-0.000347842
1.910902696,-0.000357921
1.911488863,-0.000370096
1.912075029,-0.0003827
1.912661196,-0.000393281
1.913247362,-0.000398932
1.913833529,-0.000396739
